STATE ABBREVIATION,STATE,D,FEC ID#,CANDIDATE NAME (First),CANDIDATE NAME (Last),TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES 
CA,California,43,n/a,,,District Votes:,,50198,98202
CA,California,44,H8CA36097,Janice,Hahn,,D,25641,59670
CA,California,44,H4CA44165,Adam,Shbeita,,W(PAF)/PAF,5,9192
CA,California,44,n/a,,,District Votes:,,25646,68862
CA,California,45,H4CA45097,Mimi,Walters,,R,39631,106083
CA,California,45,H4CA49107,Drew E.,Leavens,,D,24721,56819
CA,California,45,H4CA45089,Greg,Raths,,R,21284,
CA,California,45,H2CA36397,Al,Salehi,,NOP,2317,
CA,California,45,n/a,,,District Votes:,,87953,162902
CA,California,46,H6CA46033,Loretta,Sanchez,,D,20172,49738
CA,California,46,H4CA46129,Adam,Nick,,R,7234,33577
CA,California,46,H2CA46123,John J.,Cullum,,R,5666,
CA,California,46,H4CA46111,Carlos,Vazquez,,R,4969,
CA,California,46,H4CA46103,Ehab,Atalla,,D,1835,
CA,California,46,n/a,,,District Votes:,,39876,83315
CA,California,47,H2CA00104,Alan,Lowenthal,,D,44019,69091
CA,California,47,H4CA47069,Andy,Whallon,,R,33093,54309
CA,California,47,H4CA47077 ,George,Brogan,,W(R),3,
CA,California,47,n/a,,,District Votes:,,77115,123400
CA,California,48,H8CA42061,Dana,Rohrabacher,,R,52431,112082
CA,California,48,H4CA48042,Suzanne Joyce,Savary,,D,18242,62713
CA,California,48,H4CA48034,Wendy Brooks,Leece,,R,11082,
CA,California,48,H4CA48059,David,Burns,,D,6142,
CA,California,48,H2CA46040,Robert John,Banuelos,,D,5591,
CA,California,48,n/a,,,District Votes:,,93488,174795
CA,California,49,H0CA48024,Darrell,Issa,,R,56558,98161
CA,California,49,H4CA49099,Dave,Peiser,,D,25946,64981
CA,California,49,H4CA49123,Noboru,Isagawa,,D,8887,
CA,California,49,H4CA49115,Johnny,Moore,,W(D),16,
CA,California,49,n/a,,,District Votes:,,91407,163142
